commit,def_a_time,def_total_time,def_total_classes,prod1_a_time,prod1_total_time,prod1_total_classes,prod2_a_time,prod2_total_time,prod2_total_classes
a6329385a012aa8009ed0561a340e8a752b77a6a,0.269,1355.6909432411194,295,0.271,1023.0282051563263,158,0.267,1056.830994129181,158
43455061d3ee2ce3152932c771e6572586819d26,30.275,477.73113989830017,44,28.24,478.4068400859833,41,25.704,472.8129789829254,41
3cc539a561c4d35dc661c155768ffbfe2d2f073f,35.704,310.40810322761536,23,31.014,294.5707542896271,18,18.578,1073.3885281085968,155
c42d6ccc1a8950c14b349acfdca376040a5ce052,25.575,652.2917280197144,76,22.464,612.1664547920227,66,22.897,606.8079290390015,66
52d1dc09153f732750977d90a068147834b79cba,29.977,689.0527658462524,74,26.273,653.457305431366,64,27.261,658.9982612133026,64
a372d437b3fd82b2965620b1eb31c1b24cd0dd51,42.764,310.6660213470459,14,40.579,295.283992767334,11,35.723,290.8530795574188,11
09ffa49df8c50e8278e2bfd070b4f6723dd74f20,43.214,275.96757793426514,11,37.389,276.0858860015869,10,33.579,255.47920489311218,10
4149459ddef47b877d1c1f2aa1d4f4aebcd11ece,38.583,303.7267587184906,15,32.412,269.5179796218872,13,32.123,274.47791266441345,13
67967f265f62d0f5319f11f822c485eb3299c802,33.692,741.2209804058075,71,29.435,727.6730437278748,65,19.284,1272.3646891117096,155
446630b71323d60e0fa5e54616cf9449d299575b,39.11,328.1600179672241,19,23.885,1182.6220049858093,155,36.206,326.3434340953827,14
d23a5b5aac4fd2b9bf7d0b4e4b46a8a68b9f5195,38.097,316.0240306854248,15,37.103,307.9102129936218,12,43.429,99.66348004341125,5
35264037efda5be27ebadc3755a92e1bc9988ebb,39.722,354.97378396987915,20,34.089,312.7024428844452,18,36.873,121.3586733341217,11
8392dc0ad2039805262354e3335f528961f82094,39.826,309.9512994289398,15,35.841,293.8550035953522,12,38.921,89.27968907356262,5
1487d62d2119b4da3a2d71da2244d27e70ff92e9,40.9,330.00053000450134,22,39.39,306.44399976730347,16,36.349,326.97200107574463,16
f382086ca294475804b2417457172dfed1e647ac,16.674,1439.8122227191925,294,13.372,1089.664440870285,158,12.771,1108.1286902427673,156
2a318009db48dc6c8ce6fd1180cfed951b8550b1,42.979,300.205500125885,11,35.478,292.4604871273041,10,38.292,79.31877970695496,3
98259c679a19277ff0b918a18bff1c1734d7181f,28.464,572.6012654304504,52,24.25,550.5350997447968,48,17.388,1221.2810561656952,155
cc701e2c2859f224a8329d0e4e6f95d256cc3ef0,38.788,357.37842178344727,20,38.26,359.11037135124207,17,21.813,1307.1310412883759,155
0b7630bc1f392832eba36a62ef273d603fe75b56,36.021,295.7962579727173,15,32.964,274.731582403183,12,38.086,86.8090889453888,5
