commit,def_a_time,def_total_time,def_total_classes,prod1_a_time,prod1_total_time,prod1_total_classes,prod2_a_time,prod2_total_time,prod2_total_classes
1576f81dfe0156514ec06b6051e5df7928a294e2,0.255,21697.451156377792,750,0.258,21240.832008123398,649,0.262,21066.277510643005,649
c665ab02ed5c400b0c5e9e350686cd0e5b5e6972,213.554,22754.123379707336,607,214.118,22017.00317454338,603,204.581,22033.05923819542,602
028ec4704b9323954c091bcda3433f7b79cb61de,43.073,22428.837851285934,651,40.459,21132.922216415405,623,42.641,21130.127826690674,623
832a3c6a8918c73fa85518d5223df65b48f706e9,336.418,10138.182577371597,203,334.687,10091.592750787735,203,342.357,9971.275073766708,203
3fdeb7435add3593a0a367fff6e8622a73ad9fa3,418.841,2503.6415061950684,6,406.253,2269.842988014221,4,413.044,2334.262490749359,5
98a74e23514392dc8859f407cd40d9c96d8c5923,210.154,22172.37667942047,623,208.283,21953.564997911453,612,203.707,21706.690118074417,612
1abd03d68f4f236674ce929164cc460037730abb,59.164,20994.15083384514,606,56.152,22063.886275053024,598,58.69,21124.759302854538,599
8ce30f51f999c0a80db53a2a96b5be5505d4d151,225.03,22048.56355690956,583,204.309,23310.795023918152,582,206.292,21616.986172437668,583
bce14e746b3d00e692820f28b72ffe306f74d0b2,276.339,18887.579654216766,409,158.277,22204.352246046066,636,256.666,18968.86487531662,409
b8ab19373d1a291b5faa9944e545b6d5c812a6eb,215.305,23602.392467737198,576,199.749,22467.799639940262,576,134.871,22032.528858423233,638
b38b00e52839911ab4e0b97fd269c53bf7d1380f,154.748,23033.936507701874,597,141.286,21911.518253326416,594,135.755,21477.796273708344,594
59fc4061cb619c85538277588f326469dfa08fb8,419.161,2458.9165618419647,1,423.146,2484.8194522857666,1,416.212,2246.462874650955,0
4a26a61ecd54bd36b6d089f999359da5fca16723,227.857,21441.662335157394,570,222.168,22263.62720131874,570,213.531,21579.78191423416,570
f4b24c68e76df40d55258fc5391baabfa9ac362d,44.59,21604.65275979042,644,38.049,21646.030205488205,633,35.844,21469.81683254242,645
c748fce17ace8b45ee0f3c3967d87893765eea61,221.174,22153.405081033707,576,206.014,23404.23319864273,575,213.796,22130.87056684494,576
a2a0283c7be8eac641a256f06731cb6e4bab3b09,217.711,21832.357325553894,583,141.418,22159.353654146194,637,205.631,23233.047702789307,582
762a83e044b84250c6e2543e02f48136361ea3eb,210.246,22389.841826677322,705,206.82,22593.595323324203,649,137.664,6071.587191820145,650
a1a318417105f155ed5c9d34355309775eb43d11,240.968,24395.50164270401,617,219.98,24308.673173666,594,92.199,5563.772978067398,523
eefa664fea1119a9c6e3ae2d2ad3069019fbd4ef,14.663,21953.103358983994,695,12.884,21924.78596353531,635,8.374,21934.521111249924,645
4ef27a596fd1d7be5e437ab444b12fe450e79e79,416.752,2513.379570007324,1,401.138,2439.8984105587006,1,404.699,2290.1860370635986,1
6e5692e7e221a22a86257ba5f85746102528e96d,223.225,22082.793308496475,570,215.658,22144.92103099823,570,209.854,22402.87584257126,570
51ebf7b2a0e82d8bcd34867aea915c7838541fb7,218.234,23265.211091518402,588,213.791,21849.62235879898,587,211.833,21941.078456878662,587
352949d07002a8435a8ff67eecf88e4aa8bd5935,405.757,3766.953166246414,17,407.633,3771.9227657318115,17,403.501,3584.9073719978333,16
ebee2aed00b5589fe610ff994d81feba86039297,137.844,21449.764649391174,584,143.31,23477.839599609375,580,136.088,21274.217618465424,581
c1bf3cb0daf0b6212aebb449c97b772af2133d98,173.394,23414.66411113739,521,155.338,21231.302053689957,522,159.992,21212.455106258392,522
839fcf7682270bc6ba151875549d64d81917f425,417.696,2951.8164496421814,15,214.588,23420.653132915497,636,201.653,22825.50268149376,637
2b304ad6457bca4286be18f689f8b855395831c6,212.278,22925.47781395912,562,206.147,21670.35852742195,563,139.278,23902.285624027252,637
9e7c7ad129fcf466d9647e0672ecf7dd72213e72,433.374,2266.3020734786987,0,424.951,2597.3621003627777,1,408.685,2240.658062696457,0
56d249759fcee4d9c44b3e8f37ef316abab7e91f,14.655,23061.941712617874,683,13.052,21727.674332857132,644,12.872,21793.4416513443,644
1ad674e5489e6080f21c308673ecc73a54ba3752,233.143,22630.88944864273,563,212.415,21547.303086042404,563,130.769,22544.989318609238,637
643dfd60e442b35fc9bb2dbf32fcdf28c3dd2f58,405.729,4769.55238699913,25,405.619,4676.893713951111,25,398.036,4850.619593143463,26
