commit,def_a_time,def_total_time,def_total_classes,def_select_from_prev,def_select_from_cur,def_select_from_both,prod1_a_time,prod1_total_time,prod1_total_classes,prod1_select_from_prev,prod1_select_from_cur,prod1_select_from_both,prod2_a_time,prod2_total_time,prod2_total_classes,prod2_select_from_prev,prod2_select_from_cur,prod2_select_from_both
1576f81dfe0156514ec06b6051e5df7928a294e2,1.901,20607.24521636963,750,750,750,750,3.497,2060.6805748939514,1,750,1,1,5.29,2094.307560443878,1,750,1,1
c665ab02ed5c400b0c5e9e350686cd0e5b5e6972,211.304,22819.474358558655,606,606,748,606,219.145,2402.0405354499817,2,608,2,2,214.542,2139.62651515007,1,608,1,1
028ec4704b9323954c091bcda3433f7b79cb61de,48.253,22799.980207920074,650,650,748,650,50.672,3415.403378725052,1,651,1,1,49.141,3259.8655309677124,0,651,0,0
832a3c6a8918c73fa85518d5223df65b48f706e9,364.882,9429.020436525345,203,203,750,203,353.391,2186.322764635086,0,203,0,0,337.501,2170.1798837184906,0,203,0,0
3fdeb7435add3593a0a367fff6e8622a73ad9fa3,429.006,2358.3492002487183,6,6,750,6,426.551,2259.045238018036,0,6,0,0,430.447,2262.6044170856476,0,6,0,0
98a74e23514392dc8859f407cd40d9c96d8c5923,205.223,20528.533410072327,623,623,750,623,225.989,2135.2361817359924,1,623,1,1,209.583,2041.7071936130524,0,623,0,0
1abd03d68f4f236674ce929164cc460037730abb,62.766,20169.691246032715,606,606,750,606,64.564,1896.6005206108093,0,606,0,0,63.138,1895.8437325954437,0,606,0,0
8ce30f51f999c0a80db53a2a96b5be5505d4d151,230.792,19937.565542459488,583,583,750,583,211.113,3420.805684328079,0,582,0,0,219.619,2330.9499247074127,1,583,1,1
bce14e746b3d00e692820f28b72ffe306f74d0b2,274.59,18083.424224615097,409,409,750,409,277.346,20676.949994802475,588,590,588,588,278.481,2141.216717481613,1,410,1,1
b8ab19373d1a291b5faa9944e545b6d5c812a6eb,205.366,21665.534242630005,575,575,749,575,215.466,21405.20374059677,574,576,587,574,213.532,2127.595454454422,8,583,8,8
b38b00e52839911ab4e0b97fd269c53bf7d1380f,159.696,23292.149484157562,597,597,749,597,159.444,23902.839072942734,583,598,587,583,190.924,2133.9623589515686,3,599,8,3
59fc4061cb619c85538277588f326469dfa08fb8,413.829,2269.379476070404,1,1,750,1,403.78,2458.900095462799,2,2,588,2,421.183,2255.182340145111,1,1,7,1
4a26a61ecd54bd36b6d089f999359da5fca16723,214.62,19577.72847700119,570,570,750,570,208.209,20847.021265029907,558,570,587,558,218.31,2051.9454941749573,1,571,7,1
f4b24c68e76df40d55258fc5391baabfa9ac362d,40.248,19864.97496819496,644,644,750,644,44.738,19840.309890270233,586,644,588,586,47.393,2121.294806241989,8,644,8,8
c748fce17ace8b45ee0f3c3967d87893765eea61,206.531,20874.274230718613,575,575,749,575,213.677,20316.206313610077,575,577,588,575,226.943,2329.7438163757324,2,577,8,2
a2a0283c7be8eac641a256f06731cb6e4bab3b09,231.801,22847.781947612762,581,581,748,581,223.563,22599.309128046036,587,587,591,587,231.669,2357.709975719452,4,584,9,4
762a83e044b84250c6e2543e02f48136361ea3eb,217.485,21823.69681096077,705,705,750,705,216.186,21828.309015750885,593,705,593,593,215.315,415.9671015739441,35,707,35,35
a1a318417105f155ed5c9d34355309775eb43d11,210.948,20815.015926361084,617,617,749,617,213.698,20891.318429470062,579,618,592,579,206.228,483.69214963912964,22,620,35,22
eefa664fea1119a9c6e3ae2d2ad3069019fbd4ef,14.372,22233.934326648712,693,693,748,693,15.88,20729.612847089767,591,696,593,591,20.166,2593.683649301529,35,698,35,35
4ef27a596fd1d7be5e437ab444b12fe450e79e79,401.429,2256.7740716934204,1,1,750,1,415.794,2438.868814229965,2,2,593,2,409.318,2242.399247646332,1,1,34,1
6e5692e7e221a22a86257ba5f85746102528e96d,215.713,19950.65486216545,570,570,750,570,211.744,21699.751774311066,557,569,591,557,224.38,2564.9337718486786,10,571,35,10
51ebf7b2a0e82d8bcd34867aea915c7838541fb7,210.099,19973.703763246536,589,589,751,589,211.004,20511.792731046677,586,590,594,586,224.736,3951.302985429764,26,589,34,26
352949d07002a8435a8ff67eecf88e4aa8bd5935,419.52,3869.3940618038177,18,18,751,18,427.599,3864.3609013557434,18,18,594,18,432.702,2667.870473384857,3,18,35,3
ebee2aed00b5589fe610ff994d81feba86039297,145.228,20184.56233906746,584,584,751,584,149.012,20542.415635347366,580,585,594,580,156.958,2487.028559923172,24,585,34,24
c1bf3cb0daf0b6212aebb449c97b772af2133d98,163.736,19431.853453874588,523,523,751,523,161.975,19765.14892554283,519,524,594,519,174.542,4540.104296684265,8,523,34,8
839fcf7682270bc6ba151875549d64d81917f425,408.077,5164.285028219223,16,16,750,16,407.162,17005.46556854248,541,541,590,541,414.393,2452.0559465885162,2,17,35,2
2b304ad6457bca4286be18f689f8b855395831c6,227.748,23095.0916929245,562,562,750,562,242.453,23107.787356615067,563,563,589,563,243.17,23350.985088825226,589,594,589,589
9e7c7ad129fcf466d9647e0672ecf7dd72213e72,434.833,3377.916270494461,1,1,750,1,421.936,3280.9324173927307,1,1,589,1,427.013,2262.6295669078827,1,1,590,1
56d249759fcee4d9c44b3e8f37ef316abab7e91f,22.839,20437.7922539711,665,665,751,665,20.552,20065.08533024788,590,665,590,590,20.272,23748.001181602478,587,665,590,587
1ad674e5489e6080f21c308673ecc73a54ba3752,213.016,22328.438234090805,563,563,751,563,217.674,19979.120678663254,565,565,590,565,217.191,2852.1423103809357,23,580,28,23
643dfd60e442b35fc9bb2dbf32fcdf28c3dd2f58,403.831,4731.5601370334625,27,27,752,27,411.428,6509.626699209213,24,25,589,24,406.009,3389.9315960407257,2,26,27,2
c491f81a30162eb294bcccbc64b771f95231ea21,149.701,22045.232753753662,602,602,750,602,143.644,21391.98934173584,584,603,589,584,144.709,2692.910469055176,25,604,28,25
c255feb5d7880e41abd9bd3acd0807233dc6124f,209.736,20887.174139022827,594,594,750,594,214.626,22208.108565807343,591,609,593,591,215.087,23028.362220287323,581,604,584,581
bdc9c8809e1f38c0e8cbb394ffa4f6cd1cf2a819,219.34,20816.17702651024,584,584,751,584,209.685,21153.18264389038,585,585,594,585,209.027,2767.324119567871,29,590,33,29
c488abbc79cc1ad2596cbf509a0cde14acc5ad6b,115.873,21232.053103923798,595,595,750,595,123.021,20493.29490160942,584,597,594,584,121.38,2801.9266653060913,24,597,34,24
10b79a26fe0677b266acf237e8458e93743424a6,117.299,20107.55695581436,568,568,751,568,120.127,19825.8393304348,564,569,594,564,122.47,2698.2946569919586,7,569,33,7
d9fbb3c5082baf301b082f51eea2f8a2e25e8715,418.405,5565.598958492279,17,17,750,17,405.344,3952.5993695259094,18,18,594,18,410.871,3937.756471157074,2,17,32,2
fdef2b4ccacb8753aac0f5625505181c9b4dc154,81.353,24157.745545625687,641,641,751,641,87.659,5680.21196103096,85,643,85,85,94.563,2486.7303082942963,28,641,33,28
f78b6d47f9d5c05bd990aec3481e6cede93d43ea,412.17,3093.745103597641,12,12,751,12,414.019,21628.539712905884,587,587,587,587,408.429,2576.2932653427124,3,12,33,3
0d078377120da9ea886bd95b19c8a618dc4d7ab5,206.367,21811.09982728958,588,588,750,588,209.834,21389.027015209198,581,590,587,581,218.959,4239.888845920563,23,589,33,23
748570b73c86ff02f1c056b988717ff0e1f2aee5,204.767,21993.04027223587,588,588,750,588,210.614,20616.974410057068,581,590,587,581,209.717,4245.466943502426,22,589,32,22
93a1685073d76bef5c6ad3819e7710317733bd7a,188.029,20809.02628469467,583,583,751,583,199.773,21046.842314481735,573,585,588,573,193.567,2776.1111867427826,18,584,33,18
95454d821c6e4c08d49df195d7c1e0ea1aacafb9,226.719,19891.297242879868,523,523,750,523,222.926,20572.533838272095,522,525,587,522,224.16,4181.92254114151,9,524,32,9
4cac6ec40528f6a1252de43599003291cd5fe5c3,210.691,22190.346501111984,580,580,750,580,210.173,21516.024200201035,566,586,569,566,212.565,2853.4987378120422,23,582,33,23
20a4b1ae36483b5574c09516373557c764903c72,210.266,19901.028440713882,578,578,751,578,218.231,11479.273189544678,414,594,414,414,222.038,3943.9713339805603,20,578,33,20
d2e70034005b16b151e9ca9a43b1ac5893512a98,145.706,22967.279519557953,583,583,749,583,156.627,13342.662895679474,394,586,414,394,163.788,3837.736812353134,13,585,33,13
56c7ada7a524812208a2112412a757ec6be02e5e,64.096,19920.603999614716,618,618,751,618,70.717,2198.157608270645,9,620,9,9,70.532,2854.0708014965057,30,619,33,30
52b9319e57881411a03b53eca6b3c5d123bed796,418.021,2597.638767719269,4,4,751,4,416.549,2466.2217195034027,3,4,9,3,410.765,19585.82869911194,570,570,570,570
9be17339eb1dfda01afe255831fac36a33141d85,219.164,19130.567886590958,524,524,751,524,229.59,2294.2054347991943,5,526,9,5,226.948,18851.370465517044,504,525,570,504
390f8603d3a54ffae743fe240b9b0195bd01de06,415.31,4036.593465089798,3,3,750,3,413.999,2512.2233386039734,3,6,9,3,411.521,2344.5278656482697,4,5,570,4
